排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
142,抖音概念(字节概念),BK0923,1206.5,-14.91,-1.22,739661360000,3.93,14,67,翠微股份,9.97
143,跨境电商,BK1115,1279.21,-15.81,-1.22,1336996368000,4.05,31,95,浔兴股份,9.95
144,第四代半导体,BK1121,1255.89,-15.72,-1.24,99048502000,1.08,1,3,南大光电,0.31
145,云游戏,BK0903,1075.12,-13.49,-1.24,307974944000,2.43,4,21,慈文传媒,9.94
146,UWB概念,BK0880,1351.35,-16.94,-1.24,349692576000,1.71,4,16,南天信息,6.2
147,新能源,BK0493,13384.37,-168.02,-1.24,5662199808000,1.39,49,157,天沃科技,10.02
148,中超概念,BK0635,1961.42,-24.75,-1.25,152484359000,0.72,1,4,上港集团,0.91
149,钒电池,BK1095,1040.33,-13.26,-1.26,456461920000,1.29,2,17,中核钛白,1.71
150,低价股,BK1053,929.38,-11.85,-1.26,2101841536000,1.27,44,182,渤海化学,9.93
151,电子后视镜,BK1125,1355.96,-17.26,-1.26,344140640000,2.67,4,19,欧菲光,4.58
152,鸿蒙概念,BK0953,1365.66,-17.37,-1.26,2004567232000,2.86,20,90,创识科技,20.0
153,NFT概念,BK0997,1408.07,-17.92,-1.26,467334272000,3.53,12,41,贝因美,9.94
154,碳化硅,BK0977,1220.78,-15.64,-1.26,520992416000,1.64,6,30,芯朋微,5.21
155,婴童概念,BK0664,1436.77,-18.31,-1.26,1202392480000,3.48,32,114,维维股份,9.95
156,房屋检测,BK1179,1162.98,-15.09,-1.28,194194602000,1.64,4,32,华建集团,10.07
157,股权转让,BK0803,624.19,-8.08,-1.28,167945150000,2.7,8,29,上海雅仕,10.01
158,IPv6,BK0897,1181.6,-15.5,-1.29,533736896000,1.74,4,8,中国联通,1.11
159,湖北自贸,BK0926,1492.26,-19.56,-1.29,329361664000,2.75,6,22,中百集团,3.84
160,华为海思,BK1180,1346.0,-17.59,-1.29,733483968000,3.61,7,31,北方华创,3.54
161,建筑节能,BK1076,822.03,-10.8,-1.3,183683109000,2.54,5,36,红 宝 丽,10.06
162,创投,BK0506,13897.71,-183.29,-1.3,4227484784000,2.08,55,221,维维股份,9.95
163,中药概念,BK0615,1959.16,-26.03,-1.31,1889032816000,1.48,29,115,立方制药,9.99
164,熔盐储能,BK1103,818.5,-10.95,-1.32,70087585000,1.4,2,7,天沃科技,10.02
165,科创板做市股,BK1108,884.19,-11.92,-1.33,1737450592000,0.76,10,33,凯赛生物,4.11
166,Chiplet概念,BK1101,1366.52,-18.4,-1.33,670511952000,2.29,4,24,寒武纪-U,4.21
167,创业成份,BK0638,1588.42,-21.59,-1.34,5371068928000,1.61,20,80,圣邦股份,3.6
168,半导体概念,BK0917,1510.16,-20.55,-1.34,7641705216000,2.07,64,285,有研新材,6.72
169,融资融券,BK0596,2296.22,-31.13,-1.34,89853636608000,1.18,738,2898,乐山电力,10.01
170,毛发医疗,BK0996,799.83,-10.89,-1.34,85467306000,1.56,3,12,益盛药业,1.65
171,农业种植,BK0888,2102.12,-29.15,-1.37,738689120000,4.07,20,63,华茂股份,10.0
172,环氧丙烷,BK1011,548.64,-7.6,-1.37,275621456000,3.09,1,15,红 宝 丽,10.06
173,独角兽,BK0835,1559.24,-21.82,-1.38,4522969600000,1.6,21,93,联得装备,3.49
174,深股通,BK0804,942.41,-13.2,-1.38,27953279232000,1.87,232,1124,特  力Ａ,9.99
175,智慧政务,BK0886,1238.13,-17.44,-1.39,619051008000,3.47,12,68,恒锋信息,20.0
176,抗菌面料,BK1116,1182.0,-16.7,-1.39,80045686000,4.56,2,12,欣贺股份,1.88
177,氮化镓,BK0916,1155.46,-16.49,-1.41,901133744000,2.51,11,37,芯朋微,5.21
178,军民融合,BK0808,1464.64,-20.88,-1.41,2719128736000,2.01,31,147,天沃科技,10.02
179,数字经济,BK1061,1109.87,-15.86,-1.41,1595941312000,2.97,23,142,恒锋信息,20.0
180,铁路基建,BK0592,2265.47,-32.65,-1.42,2909409904000,1.04,26,91,集泰股份,9.96
181,工程机械概念,BK0991,1299.58,-18.71,-1.42,960184000000,1.22,12,38,同力股份,6.57
182,医疗美容,BK0889,1467.39,-21.16,-1.42,929354816000,1.35,11,52,锦波生物,5.06
183,电子车牌,BK0982,1189.16,-17.12,-1.42,141719444000,2.34,2,15,雄帝科技,8.01
184,3D摄像头,BK0901,1346.6,-19.4,-1.42,505854080000,3.07,2,8,欧菲光,4.58
185,有机硅,BK0961,1137.6,-16.54,-1.43,278700800000,1.88,4,27,集泰股份,9.96
186,股权激励,BK0567,2656.21,-38.53,-1.43,4384957952000,1.86,40,166,立方制药,9.99
187,并购重组概念,BK1181,974.94,-14.13,-1.43,1167975024000,1.51,12,61,晶丰明源,5.68
188,新型城镇化,BK1080,813.92,-11.87,-1.44,398958800000,2.0,12,88,恒锋信息,20.0
189,噪声防治,BK1082,1169.71,-17.11,-1.44,30321667000,4.02,2,6,天晟新材,4.12
190,HIT电池,BK0908,1896.99,-27.83,-1.45,539390736000,0.98,4,32,隆基绿能,1.7
191,转债标的,BK0528,8816.14,-130.53,-1.46,6723196160000,1.25,76,396,恒锋信息,20.0
192,无人机,BK0704,1845.36,-27.3,-1.46,2238257936000,2.3,27,140,集泰股份,9.96
