序号,股票代码,股票简称,最新价,量价齐升天数,阶段涨幅,累计换手率,所属行业
396,000719,中原传媒,11.87,1,,1.64,文化传媒
397,000721,西安饮食,9.68,1,0.94,10.75,旅游及酒店
398,000722,湖南发展,12.14,1,-4.03,9.84,电力
399,000731,四川美丰,7.02,1,-1.96,5.23,农化制品
400,000753,漳州发展,5.67,1,2.16,10.0,综合
401,000757,浩物股份,3.57,1,-2.72,2.64,汽车服务及其他
402,000782,恒申新材,5.08,1,-0.59,3.51,化学纤维
403,000793,ST华闻,2.47,1,1.65,2.42,文化传媒
404,000797,中国武夷,2.79,1,-1.06,3.74,房地产
405,000813,德展健康,3.23,1,-4.44,4.47,化学制药
406,000833,粤桂股份,11.4,1,-4.68,10.85,综合
407,000869,张裕A,22.19,1,0.68,0.44,饮料制造
408,000895,双汇发展,27.74,1,0.14,0.26,食品加工制造
409,000906,浙商中拓,6.07,1,-1.46,2.27,物流
410,000909,ST数源,5.83,1,2.64,1.98,房地产
411,000912,泸天化,4.49,1,-0.44,0.72,农化制品
412,000915,华特达因,30.0,1,-0.89,2.2,化学制药
413,000921,海信家电,27.03,1,-2.21,1.46,白色家电
414,000930,中粮科技,5.88,1,,2.83,农产品加工
415,000967,盈峰环境,5.68,1,-2.74,1.21,环保设备
416,000985,大庆华科,15.89,1,-2.1,0.86,石油加工贸易
417,000989,ST九芝,8.39,1,,1.59,中药
418,000990,诚志股份,7.15,1,-1.92,0.83,化学原料
419,000999,华润三九,45.2,1,-0.24,1.09,中药
420,001201,东瑞股份,14.83,1,-2.75,3.2,养殖业
421,001217,华尔泰,11.06,1,-0.45,5.51,化学原料
422,001219,青岛食品,14.16,1,-2.75,9.27,食品加工制造
423,001228,永泰运,25.04,1,10.02,7.36,物流
424,001234,泰慕士,25.55,1,9.99,18.34,服装家纺
425,001255,博菲电气,25.24,1,-3.22,3.7,塑料制品
426,001260,坤泰股份,16.8,1,-1.7,3.14,汽车零部件
427,001283,豪鹏科技,47.41,1,-4.01,6.81,电池
428,001288,运机集团,27.82,1,-4.4,3.84,专用设备
429,001338,永顺泰,11.73,1,-0.76,7.79,农产品加工
430,001359,平安电工,29.17,1,-2.51,6.79,非金属材料
431,001378,德冠新材,20.38,1,-1.5,1.45,塑料制品
432,001380,华纬科技,28.2,1,0.71,4.86,汽车零部件
433,002014,永新股份,11.86,1,-0.34,1.07,包装印刷
434,002037,保利联合,7.58,1,-3.32,1.51,化学制品
435,002042,华孚时尚,6.03,1,-2.27,3.4,纺织制造
