排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
21,合成生物,BK1174,1113.88,34.29,3.18,1272988336000,1.0,106,5,润都股份,10.01
22,单抗概念,BK0870,1475.26,45.2,3.16,1527478656000,0.42,48,0,百奥泰,6.49
23,肝素概念,BK0944,854.69,25.92,3.13,208892072000,0.52,13,0,丰原药业,4.55
24,SPD概念,BK1147,934.33,28.29,3.12,70080925000,0.95,11,0,塞力医疗,4.92
25,中药概念,BK0615,2050.93,61.92,3.11,1934070320000,0.56,141,3,陇神戎发,20.05
26,体外诊断,BK0841,1255.67,37.74,3.1,936400464000,0.55,67,0,热景生物,9.29
27,血氧仪,BK1122,973.49,29.05,3.08,132469560000,0.98,13,1,爱朋医疗,11.41
28,生物疫苗,BK0548,25238.49,745.83,3.05,1044789840000,0.45,70,2,海欣股份,9.95
29,基因测序,BK0693,1861.42,54.67,3.03,487952944000,0.66,46,0,美康生物,9.12
30,维生素,BK0895,1690.33,49.79,3.03,424730256000,0.44,28,2,新赣江,14.44
31,人脑工程,BK0706,4344.1,127.17,3.02,359762000000,1.13,17,3,创新医疗,10.01
32,精准医疗,BK0806,978.52,28.33,2.98,588857392000,0.66,45,0,贝瑞基因,6.87
33,青蒿素,BK0872,1586.75,45.44,2.95,277106144000,0.62,11,0,润都股份,10.01
34,注射器概念,BK0973,844.58,24.14,2.94,71758921000,0.57,13,0,阳普医疗,4.45
35,医疗美容,BK0889,1540.32,43.62,2.91,969582608000,0.41,61,5,哈三联,10.05
36,宠物经济,BK0993,779.05,21.66,2.86,259889353000,0.6,36,3,金河生物,9.96
37,昨日涨停_含一字,BK1050,259.71,6.97,2.76,322825424000,4.26,27,14,恒星科技,10.13
38,独家药品,BK0676,2392.76,62.35,2.68,732998304000,0.52,40,1,上海凯宝,7.91
39,长寿药,BK0936,868.65,21.94,2.59,123619302000,0.81,13,1,特一药业,4.91
40,千金藤素,BK1083,950.96,23.87,2.57,134710289000,0.32,5,0,方盛制药,3.74
41,昨日涨停,BK0815,929.83,22.13,2.44,270589136000,4.0,24,13,恒星科技,10.13
42,毛发医疗,BK0996,833.89,19.28,2.37,89853669000,0.63,14,1,特一药业,4.91
43,医疗器械概念,BK0668,3587.57,81.55,2.33,4620682752000,0.57,274,29,陇神戎发,20.05
44,微盘股,BK1158,2145.23,47.79,2.28,721402512000,1.03,378,16,亚邦股份,9.97
45,地热能,BK0622,3250.52,66.75,2.1,62645934000,0.71,7,2,建艺集团,10.0
46,化妆品概念,BK0974,1075.96,22.13,2.1,666009760000,0.54,51,6,哈三联,10.05
47,有机硅,BK0961,1231.74,24.71,2.05,298099440000,0.71,25,4,恒星科技,10.13
48,DRG/DIP,BK1054,1068.21,19.88,1.9,181019320000,0.9,18,1,塞力医疗,4.92
49,健康中国,BK0719,1138.37,20.68,1.85,1482216976000,0.46,96,7,冠昊生物,8.18
50,婴童概念,BK0664,1457.58,26.54,1.85,1229151056000,0.57,123,19,森马服饰,10.03
51,互联医疗,BK0837,987.57,17.86,1.84,4708387328000,0.49,87,7,翰宇药业,5.24
52,代糖概念,BK0938,954.82,17.05,1.82,142094018000,0.4,15,0,蔚蓝生物,5.75
53,工业大麻,BK0856,1670.85,29.18,1.78,398907776000,0.97,36,5,润都股份,10.01
54,环氧丙烷,BK1011,567.73,9.74,1.75,317589504000,1.27,14,2,红 宝 丽,5.09
55,消毒剂,BK0913,1252.57,21.13,1.72,547241136000,0.55,52,7,哈三联,10.05
56,油气设服,BK0606,1642.6,26.58,1.64,1789265360000,0.68,39,7,准油股份,10.09
57,生物质能发电,BK1098,957.84,15.1,1.6,208168481000,0.78,23,2,韶能股份,4.81
